product_type,cost_per_unit,time_delivery,revenue,generic_holiday,day_of_week,number_of_product_units
30,275,7,5784,0,2,24
493,882,9,8987,0,6,12
825,1107,10,3791,0,3,4
449,1672,14,16802,0,1,12
867,1308,8,5153,0,2,5
209,593,5,2757,0,7,6
901,80,13,4516,0,6,64
491,405,7,4439,0,4,13
914,277,14,10021,0,5,41
612,1419,12,8260,0,2,7
584,1239,13,4032,0,2,4
1104,508,14,4388,0,1,10
667,400,13,11364,0,5,32
473,298,5,4959,0,2,19
760,992,6,8786,0,2,10
662,182,14,14005,0,4,87
924,1646,13,3178,0,3,3
242,1541,8,4074,0,5,3
363,1985,12,5911,0,2,4
732,1653,6,6330,0,2,5
135,177,9,4392,0,3,28
611,1718,12,6155,0,4,5
518,1278,5,6753,0,6,6
892,945,14,6066,0,1,8
478,1446,8,10973,0,2,9
1032,1737,7,8512,0,2,6
914,277,14,14264,0,2,58
408,1995,9,6307,0,1,4
492,63,7,7433,0,4,133
172,295,7,6742,0,5,26
542,216,5,6579,0,4,35
148,789,5,7855,0,3,12
294,827,10,6788,0,4,10
1052,281,6,5150,0,2,21
383,1599,8,16275,0,6,12
89,321,9,7409,0,3,26
754,729,5,6156,0,3,10
530,1283,14,4663,0,7,5
860,1159,7,6455,0,6,7
310,262,8,2075,0,7,9
824,528,6,6950,0,4,15
318,388,9,9205,0,2,27
408,1995,9,4549,0,4,3
1020,424,10,14793,0,2,40
751,401,7,3505,0,2,10
343,1279,6,9487,0,5,9
566,418,8,5875,0,2,16
812,328,5,8877,0,2,31
786,1584,12,1255,0,6,1
601,692,6,1707,0,2,3
386,1816,7,11279,0,6,7
641,1359,9,7013,0,3,6
442,562,10,4705,0,5,10
110,1410,14,3679,0,5,3
1003,1224,6,6255,0,3,6
874,684,14,4775,0,2,8
774,829,12,4918,0,4,7
361,1916,14,4534,0,2,3
718,962,5,5994,0,3,7
168,568,5,8862,0,5,18
520,557,11,2612,0,3,6
670,603,11,5744,0,5,11
396,197,11,8099,0,5,47
335,837,6,11553,0,2,16
387,245,10,8977,0,6,42
135,177,9,7007,0,5,45
608,1941,8,14275,0,1,9
44,526,12,4211,0,3,9
339,1801,11,4371,0,4,3
412,1328,13,7306,0,2,7
737,1146,6,8192,0,3,9
233,443,12,7341,0,4,19
938,196,9,8779,0,4,51
672,571,8,10267,0,6,21
420,1378,10,0,1,2,0
481,90,13,6042,0,3,76
441,1777,8,7421,0,5,5
1111,1269,11,4596,0,5,5
683,335,8,8880,0,4,30
481,90,13,3079,0,3,39
810,387,12,6025,0,3,18
532,965,11,11211,0,4,14
10,1379,12,5200,0,3,5
438,1979,11,8363,0,1,5
300,624,10,7096,0,6,13
777,1704,9,2848,0,2,2
10,1379,12,6444,0,2,6
764,1940,6,4717,0,2,3
362,1815,6,10185,0,3,7
60,1552,11,6014,0,3,5
774,829,12,7240,0,1,10
861,1701,9,3987,0,5,3
916,1202,10,7068,0,2,7
1101,1402,7,11756,0,5,10
244,347,9,4149,0,6,14
504,529,8,5756,0,6,13
853,1863,14,7843,0,2,5
29,1116,14,5993,0,5,7
302,1786,13,3422,0,3,3
498,1252,6,6212,0,4,6
605,51,6,7227,0,3,159
485,836,8,5267,0,1,8
105,1949,14,3397,0,3,2
321,1649,8,4458,0,1,4
857,339,5,9151,0,3,31
660,1803,6,5786,0,4,4
289,1906,13,4887,0,2,3
490,1109,13,9794,0,5,10
1069,1545,13,8215,0,2,6
427,915,6,5924,0,6,8
758,415,5,4733,0,4,13
740,793,13,7263,0,2,11
744,1384,8,7062,0,6,6
435,1228,9,2163,0,6,2
104,1951,10,8802,0,3,6
464,1879,8,9374,0,2,6
689,1368,9,4981,0,6,5
713,80,11,12230,0,4,172
917,747,10,4443,0,6,7
363,1985,12,6855,0,1,4
166,186,11,4605,0,1,28
502,1908,9,10046,0,1,6
1051,1015,7,6595,0,3,8
953,614,11,7046,0,1,13
479,451,9,7138,0,6,18
1066,1303,6,11822,0,2,11
201,1862,13,5795,0,3,4
915,1944,9,8262,0,6,5
232,1132,10,4731,0,3,5
718,962,5,6295,0,6,8
774,829,12,8296,0,5,12
4,131,9,9796,0,2,84
1107,100,6,5607,0,6,63
199,433,9,11293,0,5,30
89,321,9,5230,0,2,19
713,80,11,9379,0,3,132
220,1015,7,3165,0,6,4
659,1101,5,2676,0,6,3
471,839,6,7169,0,6,10
386,1816,7,9954,0,6,7
452,197,9,6879,0,5,40
509,1873,6,5440,0,2,4
1073,719,5,7991,0,3,13
637,1519,5,8696,0,3,7
19,1967,5,4583,0,6,3
166,186,11,4052,0,6,25
747,1589,10,8991,0,2,7
188,1421,5,3978,0,4,4
1058,1689,7,8627,0,4,6
1008,689,5,5945,0,3,10
84,744,14,10513,0,6,16
936,1533,5,6415,0,6,5
1010,168,6,10396,0,2,70
904,1566,8,5272,0,6,4
1108,298,13,5516,0,5,21
315,880,7,4039,0,2,6
843,1873,13,11358,0,2,7
690,1494,12,6330,0,5,5
579,439,8,8222,0,6,21
193,1266,8,6033,0,2,6
761,1347,7,9161,0,2,8
318,388,9,9097,0,2,27
844,403,10,3024,0,5,9
769,1241,9,8864,0,2,8
142,396,12,6565,0,1,19
241,1055,9,5378,0,4,6
954,1579,10,6975,0,5,5
647,396,12,6190,0,4,18
470,1623,7,15334,0,2,11
532,965,11,9523,0,4,12
506,821,10,6030,0,1,9
940,261,8,6574,0,4,29
821,1043,13,10312,0,2,12
915,1944,9,7717,0,5,5
939,1406,6,3941,0,3,4
1004,1748,13,5746,0,3,4
634,1298,7,7494,0,2,7
239,1749,6,5208,0,6,4
689,1368,9,7971,0,3,7
957,512,10,9333,0,3,21
886,1325,12,4719,0,6,4
746,1635,11,4954,0,1,4
1016,1946,6,6630,0,5,4
1029,790,14,0,1,2,0
966,949,7,3741,0,3,5
522,1453,8,6203,0,6,5
459,1765,10,8623,0,6,6
966,949,7,4860,0,4,6
986,1945,7,7143,0,3,5
645,822,12,14109,0,1,20
30,275,7,5923,0,3,25
830,1160,7,6178,0,3,6
1008,689,5,5041,0,5,9
851,1394,11,6792,0,5,6
134,1065,8,5080,0,4,6
841,372,7,2618,0,3,8
808,1573,11,7222,0,5,6
195,1783,14,12104,0,6,8
238,208,12,11268,0,5,61
1014,474,10,13925,0,3,33
560,1578,7,14641,0,3,11
26,1646,13,5160,0,6,4
440,298,9,7545,0,1,29
464,1879,8,10422,0,5,7
316,165,12,12877,0,1,88
800,1544,13,5160,0,6,4
475,1218,5,7496,0,2,7
998,1379,11,4362,0,5,4
782,1579,5,9798,0,4,7
352,1795,12,7424,0,6,5
737,1146,6,9185,0,1,9
382,1283,6,5815,0,1,6
212,196,12,3781,0,2,22
867,1308,8,4035,0,5,4
105,1949,14,5325,0,4,4
618,1276,12,7800,0,2,7
183,505,12,3029,0,6,7
265,1508,8,3787,0,3,3
1090,1773,11,0,1,3,0
1058,1689,7,4445,0,6,3
187,1870,8,5275,0,5,4
1024,795,14,6973,0,1,10
588,717,9,6332,0,2,10
886,1325,12,5648,0,3,5
78,1169,6,1402,0,6,2
468,826,7,8859,0,1,13
230,1279,9,7620,0,2,7
29,1116,14,4832,0,4,5
26,1646,13,8030,0,4,6
141,713,9,4932,0,6,8
1053,1133,10,8568,0,1,9
606,236,11,7442,0,3,36
308,692,7,8828,0,2,15
133,1602,13,8881,0,3,7
884,479,8,4559,0,5,11
65,1740,10,4452,0,4,3
1041,1399,7,6029,0,3,5
929,327,6,7403,0,3,26
233,443,12,11776,0,5,30
478,1446,8,5300,0,4,5
923,456,11,4668,0,2,12
1084,1659,13,5669,0,3,4
129,1645,13,7878,0,2,6
482,433,5,10748,0,1,28
1082,461,12,7121,0,4,18
73,81,8,4507,0,5,63
637,1519,5,12556,0,1,10
134,1065,8,4915,0,1,6
705,569,12,5745,0,2,12
917,747,10,8080,0,2,13
665,799,9,6730,0,2,10
496,1786,10,12805,0,2,9
600,502,8,6543,0,6,15
91,131,14,9838,0,2,85
1090,1773,11,4902,0,4,4
351,773,11,7053,0,4,11
546,1002,10,11256,0,6,13
807,1717,9,10813,0,2,8
632,1952,5,7763,0,1,5
730,923,10,13582,0,1,17
544,1833,9,10842,0,3,7
98,715,12,4496,0,5,8
769,1241,9,10688,0,2,10
1005,1054,12,5806,0,3,7
708,883,9,3376,0,3,5
701,1421,14,5506,0,4,5
990,1468,8,8342,0,5,7
508,1522,6,4712,0,1,4
1093,1561,8,10228,0,1,8
796,1942,6,9481,0,3,6
640,1013,6,8753,0,3,10
88,1676,10,5792,0,2,4
29,1116,14,6096,0,3,7
506,821,10,13082,0,1,18
402,1935,6,4835,0,4,3
532,965,11,14308,0,3,17
610,114,9,4560,0,6,45
294,827,10,4463,0,5,7
258,1224,12,6325,0,1,6
184,633,5,5188,0,3,10
912,1732,13,6402,0,6,5
581,165,11,7745,0,1,53
580,1633,11,11343,0,5,8
927,173,14,6198,0,4,41
38,722,5,8733,0,3,14
273,387,14,5392,0,5,16
150,1795,12,7556,0,3,5
147,349,8,7530,0,5,25
251,1627,9,17061,0,6,12
922,1478,11,5962,0,2,5
224,130,5,4659,0,4,41
649,471,9,4063,0,4,10
954,1579,10,11827,0,1,9
920,202,13,5688,0,6,32
538,728,8,3106,0,1,5
710,115,7,4681,0,4,46
665,799,9,5585,0,6,8
366,1380,12,5077,0,5,5
323,108,13,8051,0,5,84
853,1863,14,14130,0,1,9
1018,476,13,8400,0,2,20
921,736,14,10968,0,3,17
653,1678,7,4739,0,1,4
456,1033,12,3484,0,1,4
701,1421,14,5337,0,6,5
26,1646,13,7381,0,4,6
486,681,14,3132,0,2,6
925,1998,9,8435,0,5,5
344,1433,13,8865,0,5,7
391,497,13,5005,0,5,12
530,1283,14,0,1,3,0
102,1651,8,6163,0,3,5
544,1833,9,21836,0,1,14
136,1381,10,9596,0,1,8
321,1649,8,4520,0,4,4
8,1299,14,6558,0,2,6
1107,100,6,6515,0,4,73
1020,424,10,6891,0,4,19
183,505,12,4738,0,5,11
991,1581,6,4139,0,2,3
43,1158,12,6639,0,5,7
166,186,11,6597,0,4,40
522,1453,8,6478,0,2,5
295,968,14,4126,0,6,5
46,1423,11,7170,0,6,6
814,1933,14,9616,0,4,6
471,839,6,6852,0,6,10
1058,1689,7,6259,0,3,5
439,690,8,7240,0,2,12
189,774,7,12734,0,3,19
129,1645,13,8932,0,2,7
44,526,12,4591,0,4,10
513,1781,13,20051,0,4,13
930,239,8,7464,0,2,35
656,795,7,3776,0,1,6
346,977,8,7041,0,3,9
1006,339,7,4685,0,1,16
374,1027,13,4082,0,6,5
454,1895,13,8106,0,1,5
814,1933,14,10001,0,5,6
1064,800,10,10914,0,1,16
743,1474,7,4908,0,2,4
623,1913,11,8074,0,3,5
694,292,10,6156,0,1,24
861,1701,9,3416,0,1,3
557,911,13,4016,0,5,5
972,416,10,0,1,4,0
1106,730,10,7780,0,5,12
509,1873,6,5477,0,2,4
261,1278,6,14182,0,3,13
372,479,6,11627,0,1,28
823,144,7,6091,0,4,48
473,298,5,4465,0,1,17
855,356,6,8766,0,1,28
317,314,14,7574,0,2,28
218,456,12,5854,0,4,15
226,1238,11,9043,0,2,9
371,1461,13,3951,0,4,4
415,670,6,6716,0,3,12
473,298,5,2960,0,1,12
177,902,12,3800,0,3,5
636,1589,14,9672,0,2,7
645,822,12,10061,0,6,14
583,1999,5,2404,0,6,2
189,774,7,7537,0,1,11
283,462,10,8423,0,2,21
620,1447,9,7722,0,1,6
691,559,6,8404,0,4,17
586,569,5,15682,0,5,31
780,623,12,10220,0,2,19
523,300,13,13038,0,4,49
339,1801,11,4440,0,2,3
132,396,11,4972,0,5,15
745,1323,7,5655,0,2,5
160,1347,10,8195,0,5,7
962,454,7,0,0,4,0
90,1914,10,13507,0,4,8
361,1916,14,5164,0,2,4
911,184,10,11216,0,2,69
840,1825,7,7772,0,3,5
261,1278,6,8359,0,3,8
279,486,11,7219,0,2,17
424,325,9,12802,0,4,45
1115,454,14,7701,0,3,19
464,1879,8,9443,0,3,6
625,1542,7,7666,0,4,6
449,1672,14,8854,0,6,6
563,1394,11,4788,0,3,4
835,95,6,0,1,4,0
288,1748,6,4863,0,1,4
739,97,10,9667,0,3,112
1035,1264,8,7207,0,1,7
226,1238,11,5926,0,3,6
662,182,14,0,1,3,0
960,1240,7,4697,0,3,5
855,356,6,5162,0,5,17
1034,154,13,6957,0,4,51
956,1129,6,3704,0,5,4
161,510,8,8174,0,1,18
415,670,6,5834,0,3,10
482,433,5,8009,0,5,21
664,670,11,6911,0,5,12
720,1894,8,6036,0,1,4
6,533,10,3912,0,6,9
549,419,12,5204,0,1,14
1082,461,12,8425,0,1,21
91,131,14,4166,0,2,36
524,976,14,1327,0,7,2
722,350,10,0,0,7,0
862,1940,10,7878,0,5,5
913,599,8,5607,0,6,11
539,933,12,15096,0,6,19
625,1542,7,5958,0,5,5
94,1407,14,7608,0,5,7
204,1622,14,5325,0,4,4
416,778,7,9665,0,5,14
263,1696,6,4565,0,6,4
101,1769,13,5355,0,2,4
375,490,5,10028,0,3,23
997,273,12,5693,0,4,24
113,291,9,0,1,4,0
584,1239,13,4572,0,6,5
826,1841,5,7107,0,1,5
826,1841,5,7300,0,6,5
617,1042,8,3075,0,6,4
556,890,14,0,1,4,0
279,486,11,6091,0,5,15
247,1058,11,7560,0,6,9
658,878,7,8573,0,5,11
90,1914,10,7928,0,6,5
582,1745,14,8890,0,2,6
743,1474,7,1508,0,6,2
747,1589,10,5128,0,6,4
537,1721,11,4830,0,5,4
58,1817,6,5978,0,3,4
787,1045,13,11404,0,2,13
337,1480,11,5579,0,6,5
352,1795,12,6286,0,5,4
48,1228,6,4297,0,3,4
993,75,7,5793,0,3,87
893,1082,11,6210,0,6,7
683,335,8,13411,0,2,45
762,51,5,2248,0,2,50
867,1308,8,4571,0,2,4
205,926,5,0,1,5,0
924,1646,13,4374,0,1,3
500,1935,11,5889,0,4,4
127,546,12,5578,0,6,12
793,1979,7,6434,0,2,4
171,369,9,7857,0,5,24
32,1981,13,3387,0,4,2
350,586,8,4945,0,1,10
584,1239,13,3563,0,6,4
326,314,13,5788,0,6,21
755,1887,11,8826,0,1,6
519,1762,11,3570,0,2,3
103,1468,5,6530,0,1,5
754,729,5,8421,0,5,13
351,773,11,6606,0,3,10
590,245,6,3267,0,3,15
586,569,5,18040,0,1,36
517,1670,9,4824,0,3,4
76,661,10,6882,0,2,12
693,351,8,3799,0,5,13
148,789,5,10673,0,3,16
640,1013,6,17609,0,5,20
473,298,5,3207,0,1,13
790,1957,5,7247,0,6,5
524,976,14,7662,0,1,9
319,1322,11,7672,0,3,7
717,1863,12,3343,0,3,3
574,1045,10,11155,0,1,12
197,859,14,9372,0,1,13
437,267,7,7455,0,5,32
539,933,12,10310,0,4,13
448,1763,14,7402,0,5,5
1054,1157,11,4171,0,6,5
167,585,6,12868,0,1,25
888,637,10,8083,0,3,15
297,669,9,5270,0,2,9
637,1519,5,8033,0,3,6
318,388,9,7714,0,2,23
528,380,11,8190,0,6,25
1089,866,7,9787,0,6,13
681,1394,8,3667,0,3,3
1035,1264,8,5885,0,5,6
1026,1650,14,8965,0,4,7
265,1508,8,6853,0,2,6
1109,1781,11,3455,0,6,3
1058,1689,7,7072,0,3,5
83,326,9,3023,0,2,11
1115,454,14,7006,0,6,18
89,321,9,6296,0,1,22
310,262,8,7888,0,4,34
77,1912,11,6689,0,3,4
798,665,14,7669,0,5,13
1008,689,5,4838,0,6,8
150,1795,12,10622,0,1,7
353,1568,5,6608,0,7,5
917,747,10,4500,0,6,7
468,826,7,9222,0,6,13
554,729,13,5107,0,2,8
146,185,9,7041,0,5,43
55,756,12,8048,0,1,12
292,438,13,5793,0,5,15
945,505,8,2550,0,6,6
1057,1228,11,5603,0,5,6
296,613,11,9695,0,5,18
961,1141,10,5874,0,1,6
106,809,10,7389,0,4,11
583,1999,5,2817,0,6,2
414,383,7,8049,0,6,24
820,1242,6,11220,0,5,11
599,406,5,11187,0,6,31
717,1863,12,5940,0,5,4
966,949,7,5552,0,1,7
517,1670,9,8113,0,1,6
924,1646,13,5266,0,3,4
60,1552,11,10962,0,3,8
410,282,10,6816,0,3,28
